date,pump_id,vibration_mm_s,motor_temp_c,discharge_pressure_psi,failing_within_7d,health_status
2025-09-02,Basin_B_Pad1,3.586,71.3,1655.2,0,Degrading
2025-09-03,Basin_B_Pad1,3.428,73.1,1638.2,0,Degrading
2025-09-04,Basin_B_Pad1,3.788,77.8,1637.2,0,Degrading
2025-09-05,Basin_B_Pad1,3.991,76.9,1614.6,0,Degrading
2025-09-06,Basin_B_Pad1,4.253,74.9,1583.7,1,Failing
2025-09-07,Basin_B_Pad1,4.352,78.9,1515.2,1,Failing
2025-09-08,Basin_B_Pad1,4.311,75.7,1523.7,1,Failing
2025-09-09,Basin_B_Pad1,4.713,77.8,1526.6,1,Failing
2025-09-10,Basin_B_Pad1,4.597,79.9,1473.6,1,Failing
2025-09-11,Basin_B_Pad1,5.799,86.2,1467.8,1,Failing
2025-09-12,Basin_B_Pad1,6.046,80.6,1442.9,1,Failing
2025-09-13,Basin_B_Pad1,8.2,93.0,1250.0,1,Failure_Event
2025-09-14,Basin_B_Pad1,2.329,65.1,1791.1,0,Healthy
2025-09-15,Basin_B_Pad1,2.204,70.1,1744.6,0,Healthy
2025-09-16,Basin_B_Pad1,2.27,70.9,1724.5,0,Healthy
2025-09-17,Basin_B_Pad1,2.187,68.3,1747.0,0,Healthy
2025-09-18,Basin_B_Pad1,2.24,69.2,1769.0,0,Healthy
2025-09-19,Basin_B_Pad1,2.007,68.2,1743.7,0,Healthy
2025-09-20,Basin_B_Pad1,2.104,68.3,1732.1,0,Healthy
2025-09-21,Basin_B_Pad1,2.085,66.1,1746.2,0,Healthy
2025-09-22,Basin_B_Pad1,2.255,65.8,1760.9,0,Healthy
2025-09-23,Basin_B_Pad1,2.127,65.4,1720.7,0,Healthy
2025-09-24,Basin_B_Pad1,2.06,68.3,1762.9,0,Healthy
2025-09-25,Basin_B_Pad1,2.206,68.5,1730.7,0,Healthy
2025-09-26,Basin_B_Pad1,2.347,66.2,1753.9,0,Healthy
2025-09-27,Basin_B_Pad1,2.267,68.5,1768.2,0,Healthy
2025-09-28,Basin_B_Pad1,2.188,67.6,1748.1,0,Healthy
2025-09-29,Basin_B_Pad1,2.316,65.9,1734.9,0,Healthy
2025-09-30,Basin_B_Pad1,2.256,66.9,1773.3,0,Healthy
2025-10-01,Basin_B_Pad1,2.169,70.0,1742.7,0,Healthy
2025-10-02,Basin_B_Pad1,2.055,67.8,1753.7,0,Healthy
2025-10-03,Basin_B_Pad1,2.257,68.5,1716.3,0,Healthy
2025-10-04,Basin_B_Pad1,2.146,66.4,1792.0,0,Healthy
2025-10-05,Basin_B_Pad1,2.374,67.9,1747.7,0,Healthy
2025-10-06,Basin_B_Pad1,2.335,64.5,1755.9,0,Healthy
2025-10-07,Basin_B_Pad1,2.331,67.4,1778.9,0,Healthy
2025-10-08,Basin_B_Pad1,2.128,67.0,1748.5,0,Healthy
2025-10-09,Basin_B_Pad1,2.175,69.2,1760.2,0,Healthy
2025-10-10,Basin_B_Pad1,2.293,66.8,1770.4,0,Healthy
2025-10-11,Basin_B_Pad1,2.329,68.1,1762.2,0,Healthy
2025-10-12,Basin_B_Pad1,2.386,65.2,,0,Healthy
2025-10-13,Basin_B_Pad1,2.185,67.6,1727.2,0,Healthy
2025-10-14,Basin_B_Pad1,2.243,70.6,1784.5,0,Healthy
2025-10-15,Basin_B_Pad1,2.136,67.0,1794.1,0,Healthy
2025-10-16,Basin_B_Pad1,2.245,68.2,1782.5,0,Healthy
2025-10-17,Basin_B_Pad1,2.344,68.6,1756.1,0,Healthy
2025-10-18,Basin_B_Pad1,2.161,68.7,1717.2,0,Healthy
2025-10-19,Basin_B_Pad1,,68.9,1748.3,0,Healthy
2025-10-20,Basin_B_Pad1,2.145,66.6,1747.1,0,Healthy
2025-10-21,Basin_B_Pad1,2.212,68.8,1699.0,0,Healthy
2025-10-22,Basin_B_Pad1,2.262,68.5,1723.6,0,Healthy
2025-10-23,Basin_B_Pad1,2.178,67.7,1720.2,0,Healthy
2025-10-24,Basin_B_Pad1,2.276,67.3,1738.0,0,Healthy
2025-10-25,Basin_B_Pad1,2.262,68.2,1738.2,0,Healthy
2025-10-26,Basin_B_Pad1,2.062,68.1,1727.2,0,Healthy
2025-10-27,Basin_B_Pad1,2.228,68.1,1722.8,0,Healthy
2025-10-28,Basin_B_Pad1,2.195,67.9,1735.7,0,Healthy
2025-10-29,Basin_B_Pad1,2.283,67.4,1708.9,0,Healthy
2025-10-30,Basin_B_Pad1,2.436,66.4,1767.7,0,Degrading
2025-10-31,Basin_B_Pad1,2.564,68.6,1712.6,0,Degrading
2025-11-01,Basin_B_Pad1,3.021,71.7,1633.5,0,Degrading
2025-11-02,Basin_B_Pad1,2.902,68.9,1606.3,0,Degrading
2025-11-03,Basin_B_Pad1,3.272,74.3,1694.2,0,Degrading
2025-11-04,Basin_B_Pad1,3.353,73.4,1564.2,0,Degrading
2025-11-05,Basin_B_Pad1,4.16,77.4,1590.7,0,Degrading
2025-11-06,Basin_B_Pad1,4.114,78.6,1571.8,1,Failing
2025-11-07,Basin_B_Pad1,4.418,77.4,1521.3,1,Failing
2025-11-08,Basin_B_Pad1,4.707,78.7,1481.4,1,Failing
2025-11-09,Basin_B_Pad1,4.713,82.6,1444.4,1,Failing
2025-11-10,Basin_B_Pad1,5.057,81.5,1461.9,1,Failing
2025-11-11,Basin_B_Pad1,4.783,80.3,1399.5,1,Failing
2025-11-12,Basin_B_Pad1,6.107,84.2,1459.5,1,Failing
2025-11-13,Basin_B_Pad1,8.2,93.0,1250.0,1,Failure_Event
2025-11-14,Basin_B_Pad1,2.154,70.9,1730.5,0,Healthy
2025-11-15,Basin_B_Pad1,2.222,68.6,1718.3,0,Healthy
2025-11-16,Basin_B_Pad1,2.156,68.0,1748.5,0,Healthy
2025-11-17,Basin_B_Pad1,2.368,69.1,1778.6,0,Healthy
2025-11-18,Basin_B_Pad1,2.161,67.3,1730.6,0,Healthy
2025-11-19,Basin_B_Pad1,2.108,67.1,1753.6,0,Healthy
2025-11-20,Basin_B_Pad1,2.424,65.9,1752.8,0,Healthy
2025-11-21,Basin_B_Pad1,2.178,69.4,1736.8,0,Healthy
2025-11-22,Basin_B_Pad1,2.338,68.8,1730.6,0,Healthy
2025-11-23,Basin_B_Pad1,2.339,69.0,1713.0,0,Healthy
2025-11-24,Basin_B_Pad1,2.151,67.9,1780.5,0,Healthy
2025-11-25,Basin_B_Pad1,2.231,68.6,1781.1,0,Healthy
2025-11-26,Basin_B_Pad1,2.307,66.3,1735.3,0,Healthy
2025-11-27,Basin_B_Pad1,2.212,67.7,1720.5,0,Healthy
2025-11-28,Basin_B_Pad1,1.993,67.6,1779.5,0,Healthy
2025-11-29,Basin_B_Pad1,2.092,68.7,1781.4,0,Healthy
2025-11-30,Basin_B_Pad1,2.244,69.1,1741.3,0,Healthy
2025-12-01,Basin_B_Pad1,2.348,67.2,1709.7,0,Healthy
2025-12-02,Basin_B_Pad1,2.242,69.2,1767.6,0,Healthy
2025-12-03,Basin_B_Pad1,2.091,68.2,1781.8,0,Healthy
2025-12-04,Basin_B_Pad1,2.155,67.7,1737.9,0,Healthy
2025-12-05,Basin_B_Pad1,2.164,68.3,1764.9,0,Healthy
2025-12-06,Basin_B_Pad1,2.055,69.6,1795.7,0,Healthy
2025-12-07,Basin_B_Pad1,2.215,68.9,1744.8,0,Healthy
2025-12-08,Basin_B_Pad1,2.266,66.6,1783.0,0,Healthy
2025-12-09,Basin_B_Pad1,2.27,69.3,1704.3,0,Healthy
2025-12-10,Basin_B_Pad1,2.342,67.2,1769.4,0,Healthy
2025-12-11,Basin_B_Pad1,2.079,68.5,1713.4,0,Healthy
2025-12-12,Basin_B_Pad1,2.162,68.4,1791.8,0,Healthy
2025-12-13,Basin_B_Pad1,2.095,68.4,1762.6,0,Healthy
2025-12-14,Basin_B_Pad1,2.092,67.5,1784.8,0,Healthy
2025-12-15,Basin_B_Pad1,2.3,69.0,1756.1,0,Healthy
2025-12-16,Basin_B_Pad1,2.4,67.4,1786.2,0,Healthy
2025-12-17,Basin_B_Pad1,2.162,66.8,1775.6,0,Healthy
2025-12-18,Basin_B_Pad1,2.16,67.0,1783.6,0,Healthy
2025-12-19,Basin_B_Pad1,2.32,67.7,1763.2,0,Healthy
2025-12-20,Basin_B_Pad1,2.193,68.6,1735.2,0,Healthy
2025-12-21,Basin_B_Pad1,2.088,67.6,1767.4,0,Healthy
2025-12-22,Basin_B_Pad1,2.066,65.9,1752.8,0,Healthy
2025-12-23,Basin_B_Pad1,2.171,67.8,1724.4,0,Healthy
2025-12-24,Basin_B_Pad1,2.173,68.7,1756.7,0,Healthy
2025-12-25,Basin_B_Pad1,1.777,69.0,1740.3,0,Healthy
2025-12-26,Basin_B_Pad1,2.264,65.8,1789.2,0,Healthy
2025-12-27,Basin_B_Pad1,2.108,67.6,1754.0,0,Healthy
2025-12-28,Basin_B_Pad1,2.163,68.4,1742.2,0,Healthy
2025-12-29,Basin_B_Pad1,2.387,68.0,1745.4,0,Healthy
2025-12-30,Basin_B_Pad1,1.926,66.5,1730.2,0,Healthy
2025-12-31,Basin_B_Pad1,2.331,67.6,1783.3,0,Healthy
2026-01-01,Basin_B_Pad1,2.097,67.8,1756.8,0,Healthy
2026-01-02,Basin_B_Pad1,2.152,67.3,1803.8,0,Healthy
2026-01-03,Basin_B_Pad1,2.124,67.1,1748.8,0,Healthy
2026-01-04,Basin_B_Pad1,2.183,68.1,1787.2,0,Healthy
2026-01-05,Basin_B_Pad1,2.29,69.1,1736.4,0,Healthy
2026-01-06,Basin_B_Pad1,2.074,67.2,1792.7,0,Healthy
2026-01-07,Basin_B_Pad1,2.152,68.1,1747.3,0,Healthy
2026-01-08,Basin_B_Pad1,2.122,67.7,1767.3,0,Healthy
2026-01-09,Basin_B_Pad1,2.048,67.3,1780.5,0,Healthy
2026-01-10,Basin_B_Pad1,2.061,67.5,1802.5,0,Healthy
2026-01-11,Basin_B_Pad1,2.184,67.3,1730.6,0,Healthy
2026-01-12,Basin_B_Pad1,2.328,71.0,1721.3,0,Degrading
2026-01-13,Basin_B_Pad1,2.968,72.4,1708.1,0,Degrading
2026-01-14,Basin_B_Pad1,2.685,74.1,1627.9,0,Degrading
2026-01-15,Basin_B_Pad1,3.24,71.8,1759.3,0,Degrading
2026-01-16,Basin_B_Pad1,3.236,72.3,1656.9,0,Degrading
2026-01-17,Basin_B_Pad1,3.352,73.2,1581.9,0,Degrading
2026-01-18,Basin_B_Pad1,3.696,76.1,1625.6,0,Degrading
2026-01-19,Basin_B_Pad1,3.839,78.4,1576.4,1,Failing
2026-01-20,Basin_B_Pad1,4.632,78.1,1537.1,1,Failing
2026-01-21,Basin_B_Pad1,4.298,81.3,1508.4,1,Failing
2026-01-22,Basin_B_Pad1,4.541,80.3,1480.8,1,Failing
2026-01-23,Basin_B_Pad1,5.238,84.7,1471.3,1,Failing
2026-01-24,Basin_B_Pad1,5.414,78.5,1498.2,1,Failing
2026-01-25,Basin_B_Pad1,5.002,89.8,1468.1,1,Failing
2026-01-26,Basin_B_Pad1,8.2,93.0,1250.0,1,Failure_Event
2026-01-27,Basin_B_Pad1,2.173,67.6,1726.2,0,Healthy
2026-01-28,Basin_B_Pad1,2.356,67.5,1763.4,0,Healthy
2026-01-29,Basin_B_Pad1,2.016,67.4,1764.6,0,Healthy
2026-01-30,Basin_B_Pad1,2.296,68.5,1715.9,0,Healthy
2026-01-31,Basin_B_Pad1,2.039,68.0,1756.5,0,Healthy
2026-02-01,Basin_B_Pad1,2.312,67.5,1687.8,0,Healthy
2026-02-02,Basin_B_Pad1,2.289,68.8,1747.5,0,Healthy
2026-02-03,Basin_B_Pad1,2.163,69.6,1743.0,0,Healthy
2026-02-04,Basin_B_Pad1,2.27,66.5,1809.9,0,Healthy
2026-02-05,Basin_B_Pad1,2.11,66.8,1776.1,0,Healthy
2026-02-06,Basin_B_Pad1,2.235,68.5,1745.4,0,Healthy
2026-02-07,Basin_B_Pad1,2.27,69.1,1781.4,0,Healthy
2026-02-08,Basin_B_Pad1,2.248,68.0,1745.5,0,Healthy
2026-02-09,Basin_B_Pad1,2.325,69.1,1780.8,0,Healthy
2026-02-10,Basin_B_Pad1,2.132,69.9,1727.4,0,Healthy
2026-02-11,Basin_B_Pad1,2.258,70.7,1751.3,0,Healthy
2026-02-12,Basin_B_Pad1,2.447,71.0,1759.2,0,Healthy
2026-02-13,Basin_B_Pad1,2.196,69.9,1787.6,0,Healthy
2026-02-14,Basin_B_Pad1,2.167,66.7,1754.0,0,Healthy
2026-02-15,Basin_B_Pad1,2.372,68.2,1738.6,0,Healthy
2026-02-16,Basin_B_Pad1,2.177,65.8,1743.4,0,Healthy
2026-02-17,Basin_B_Pad1,2.136,66.3,1749.6,0,Healthy
2026-02-18,Basin_B_Pad1,2.169,68.4,1739.4,0,Healthy
2026-02-19,Basin_B_Pad1,2.215,67.5,1773.8,0,Healthy
2026-02-20,Basin_B_Pad1,2.288,66.4,1734.7,0,Healthy
2026-02-21,Basin_B_Pad1,2.036,68.3,1725.9,0,Healthy
2026-02-22,Basin_B_Pad1,2.137,67.2,1719.5,0,Healthy
2026-02-23,Basin_B_Pad1,2.34,67.7,1764.9,0,Healthy
2026-02-24,Basin_B_Pad1,2.025,68.6,1732.5,0,Healthy
2026-02-25,Basin_B_Pad1,2.23,67.9,1761.8,0,Healthy
2026-02-26,Basin_B_Pad1,2.404,66.2,1716.7,0,Healthy
2026-02-27,Basin_B_Pad1,2.23,69.1,1807.0,0,Healthy
2026-02-28,Basin_B_Pad1,2.449,66.8,1767.3,0,Healthy
2026-03-01,Basin_B_Pad1,2.256,68.6,1765.6,0,Healthy
2026-03-02,Basin_B_Pad1,2.276,69.4,1772.6,0,Healthy
2026-03-03,Basin_B_Pad1,2.226,69.2,1743.4,0,Healthy
2026-03-04,Basin_B_Pad1,2.181,66.8,1709.2,0,Healthy
2026-03-05,Basin_B_Pad1,2.051,66.5,1728.7,0,Healthy
2026-03-06,Basin_B_Pad1,2.312,68.3,1736.2,0,Healthy
2026-03-07,Basin_B_Pad1,2.176,68.6,1715.6,0,Healthy
2026-03-08,Basin_B_Pad1,1.959,,1753.3,0,Healthy
2026-03-09,Basin_B_Pad1,2.255,66.2,1740.6,0,Healthy
2026-03-10,Basin_B_Pad1,2.5,67.3,1756.8,0,Healthy
2026-03-11,Basin_B_Pad1,2.135,68.0,1723.6,0,Healthy
2026-03-12,Basin_B_Pad1,2.306,65.9,1738.1,0,Healthy
2026-03-13,Basin_B_Pad1,2.033,67.8,1776.9,0,Healthy
2026-03-14,Basin_B_Pad1,2.168,67.3,1790.2,0,Healthy
2026-03-15,Basin_B_Pad1,2.303,68.7,1789.8,0,Healthy
2026-03-16,Basin_B_Pad1,2.203,66.6,1762.7,0,Healthy
2026-03-17,Basin_B_Pad1,2.193,68.1,1765.4,0,Healthy
2026-03-18,Basin_B_Pad1,2.14,64.9,1786.0,0,Healthy
2026-03-19,Basin_B_Pad1,2.43,67.3,1725.7,0,Degrading
2026-03-20,Basin_B_Pad1,2.804,67.6,1699.9,0,Degrading
2026-03-21,Basin_B_Pad1,2.975,72.9,1647.5,0,Degrading
2026-03-22,Basin_B_Pad1,3.513,76.4,1666.9,0,Degrading
2026-03-23,Basin_B_Pad1,3.059,75.8,1613.7,0,Degrading
2026-03-24,Basin_B_Pad1,3.801,76.4,1584.1,0,Degrading
2026-03-25,Basin_B_Pad1,4.148,72.6,1587.3,0,Degrading
2026-03-26,Basin_B_Pad1,4.398,79.3,1533.3,1,Failing
2026-03-27,Basin_B_Pad1,4.693,76.4,1541.5,1,Failing
2026-03-28,Basin_B_Pad1,4.719,78.5,1457.4,1,Failing
2026-03-29,Basin_B_Pad1,4.425,84.1,1439.4,1,Failing
2026-03-30,Basin_B_Pad1,5.373,83.0,1462.3,1,Failing
2026-03-31,Basin_B_Pad1,4.882,81.7,1340.9,1,Failing
2026-04-01,Basin_B_Pad1,5.594,87.7,1402.0,1,Failing
2026-04-02,Basin_B_Pad1,8.2,93.0,1250.0,1,Failure_Event
2026-04-03,Basin_B_Pad1,2.409,68.8,1701.5,0,Healthy
2026-04-04,Basin_B_Pad1,2.241,68.6,1774.2,0,Healthy
2026-04-05,Basin_B_Pad1,2.174,67.1,1757.4,0,Healthy
2026-04-06,Basin_B_Pad1,2.163,70.5,1796.1,0,Healthy
2026-04-07,Basin_B_Pad1,2.462,68.9,,0,Healthy
2026-04-08,Basin_B_Pad1,2.362,70.4,1748.4,0,Healthy
2026-04-09,Basin_B_Pad1,2.225,67.2,1756.1,0,Healthy
2026-04-10,Basin_B_Pad1,2.407,69.4,1772.9,0,Healthy
2026-04-11,Basin_B_Pad1,2.254,67.0,1716.9,0,Healthy
2026-04-12,Basin_B_Pad1,1.936,66.1,1762.2,0,Healthy
2026-04-13,Basin_B_Pad1,2.186,67.1,1728.7,0,Healthy
2026-04-14,Basin_B_Pad1,2.017,70.0,1748.6,0,Healthy
2026-04-15,Basin_B_Pad1,2.285,67.5,1745.3,0,Healthy
2026-04-16,Basin_B_Pad1,2.289,66.5,1727.4,0,Healthy
2026-04-17,Basin_B_Pad1,2.39,69.8,1743.7,0,Healthy
2026-04-18,Basin_B_Pad1,2.274,68.0,1747.0,0,Healthy
2026-04-19,Basin_B_Pad1,2.35,67.3,1761.8,0,Healthy
2026-04-20,Basin_B_Pad1,2.158,69.2,1777.2,0,Healthy
2026-04-21,Basin_B_Pad1,2.313,69.3,1726.0,0,Healthy
2026-04-22,Basin_B_Pad1,2.207,69.7,1720.5,0,Healthy
2026-04-23,Basin_B_Pad1,2.262,69.2,1773.1,0,Healthy
2026-04-24,Basin_B_Pad1,2.333,68.8,1749.4,0,Healthy
2026-04-25,Basin_B_Pad1,2.287,68.2,1743.7,0,Healthy
2026-04-26,Basin_B_Pad1,2.102,67.4,1761.6,0,Healthy
2026-04-27,Basin_B_Pad1,2.23,66.0,1743.7,0,Healthy
2026-04-28,Basin_B_Pad1,2.134,67.6,1774.8,0,Healthy
2026-04-29,Basin_B_Pad1,2.211,69.3,1779.2,0,Healthy
2026-04-30,Basin_B_Pad1,2.241,69.6,1759.6,0,Healthy
2026-05-01,Basin_B_Pad1,2.316,68.7,1783.7,0,Healthy
2026-05-02,Basin_B_Pad1,2.298,67.9,1770.6,0,Healthy
2026-05-03,Basin_B_Pad1,2.241,68.6,1727.2,0,Healthy
2026-05-04,Basin_B_Pad1,2.272,67.4,1729.1,0,Healthy
2026-05-05,Basin_B_Pad1,2.094,66.6,1767.0,0,Healthy
2026-05-06,Basin_B_Pad1,2.258,67.6,1766.1,0,Healthy
2026-05-07,Basin_B_Pad1,2.106,68.9,1751.8,0,Healthy
2026-05-08,Basin_B_Pad1,2.257,67.0,1703.4,0,Healthy
2026-05-09,Basin_B_Pad1,2.411,69.4,1778.4,0,Healthy
2026-05-10,Basin_B_Pad1,2.174,68.4,,0,Healthy
2026-05-11,Basin_B_Pad1,2.092,68.6,1726.7,0,Healthy
2026-05-12,Basin_B_Pad1,2.338,68.1,1736.4,0,Degrading
2026-05-13,Basin_B_Pad1,2.671,69.0,1725.1,0,Degrading
2026-05-14,Basin_B_Pad1,2.853,69.9,1679.8,0,Degrading
2026-05-15,Basin_B_Pad1,3.264,69.7,1659.8,0,Degrading
2026-05-16,Basin_B_Pad1,3.537,75.5,1603.8,0,Degrading
2026-05-17,Basin_B_Pad1,3.827,76.6,1587.4,0,Degrading
2026-05-18,Basin_B_Pad1,3.738,75.7,1565.1,0,Degrading
2026-05-19,Basin_B_Pad1,4.126,77.9,1544.7,1,Failing
2026-05-20,Basin_B_Pad1,4.425,73.8,1481.2,1,Failing
2026-05-21,Basin_B_Pad1,4.972,80.5,1461.6,1,Failing
2026-05-22,Basin_B_Pad1,5.199,79.6,1502.8,1,Failing
2026-05-23,Basin_B_Pad1,4.897,78.7,1451.2,1,Failing
2026-05-24,Basin_B_Pad1,5.436,86.5,1456.8,1,Failing
2026-05-25,Basin_B_Pad1,4.756,79.9,1472.5,1,Failing
2026-05-26,Basin_B_Pad1,8.2,93.0,1250.0,1,Failure_Event
2026-05-27,Basin_B_Pad1,2.24,68.8,1774.9,0,Healthy
2026-05-28,Basin_B_Pad1,2.169,68.1,1733.2,0,Healthy
2026-05-29,Basin_B_Pad1,2.14,67.3,1738.8,0,Healthy
2026-05-30,Basin_B_Pad1,2.155,67.0,1779.5,0,Healthy
2026-05-31,Basin_B_Pad1,2.309,65.5,1746.1,0,Healthy
2026-06-01,Basin_B_Pad1,2.222,66.6,1781.0,0,Healthy
2026-06-02,Basin_B_Pad1,2.195,66.5,1738.2,0,Healthy
2026-06-03,Basin_B_Pad1,2.181,68.2,1779.5,0,Healthy
2026-06-04,Basin_B_Pad1,2.314,66.9,1750.0,0,Healthy
2026-06-05,Basin_B_Pad1,2.235,69.9,1737.7,0,Healthy
2026-06-06,Basin_B_Pad1,2.067,67.9,1746.8,0,Healthy
2026-06-07,Basin_B_Pad1,2.235,67.1,1731.3,0,Healthy
2026-06-08,Basin_B_Pad1,2.239,68.5,1713.2,0,Healthy
2026-06-09,Basin_B_Pad1,2.001,67.7,1765.1,0,Healthy
2026-06-10,Basin_B_Pad1,2.134,70.9,1780.2,0,Healthy
2026-06-11,Basin_B_Pad1,2.459,69.7,1781.3,0,Healthy
2026-06-12,Basin_B_Pad1,2.367,71.4,1751.7,0,Healthy
2026-06-13,Basin_B_Pad1,2.153,67.9,1787.6,0,Healthy
2026-06-14,Basin_B_Pad1,2.3,66.9,1742.6,0,Healthy
2026-06-15,Basin_B_Pad1,1.904,65.4,1724.7,0,Healthy
2026-06-16,Basin_B_Pad1,2.244,68.0,1734.7,0,Healthy
2026-06-17,Basin_B_Pad1,2.326,67.2,1790.8,0,Healthy
2026-06-18,Basin_B_Pad1,2.294,69.0,1739.2,0,Healthy
2026-06-19,Basin_B_Pad1,2.108,67.0,1737.0,0,Healthy
2026-06-20,Basin_B_Pad1,2.282,67.7,1767.5,0,Healthy
2026-06-21,Basin_B_Pad1,2.077,68.0,1721.4,0,Healthy
2026-06-22,Basin_B_Pad1,2.083,68.9,1749.1,0,Healthy
2026-06-23,Basin_B_Pad1,2.133,69.1,1746.6,0,Healthy
2026-06-24,Basin_B_Pad1,2.351,66.7,1772.6,0,Healthy
2026-06-25,Basin_B_Pad1,2.147,67.4,1754.7,0,Healthy
2026-06-26,Basin_B_Pad1,2.271,67.1,1745.7,0,Healthy
2026-06-27,Basin_B_Pad1,2.04,68.5,1799.2,0,Healthy
2026-06-28,Basin_B_Pad1,2.252,66.1,1736.4,0,Healthy
2026-06-29,Basin_B_Pad1,2.157,67.5,1757.6,0,Healthy
2026-06-30,Basin_B_Pad1,2.326,67.0,1751.2,0,Healthy
2025-07-01,Basin_B_Pad2,2.272,70.3,1660.1,0,Healthy
2025-07-02,Basin_B_Pad2,2.288,68.3,1702.7,0,Healthy
